Open_time,Open,High,Low,Close,Volume
2021-06-19,339.34,339.71,337.45,338.65,11688.7967
2021-06-19,338.66,339.88,337.75,337.75,15934.3256
2021-06-19,337.79,338.39,336.73,337.23,13035.2936
2021-06-19,337.23,339.5,337.22,339.14,9313.8359
2021-06-19,339.14,340.25,338.44,340.18,10308.5803
2021-06-19,340.18,340.65,338.73,338.84,11307.9704
2021-06-19,338.84,340.2,338.7,339.71,5642.9207
2021-06-19,339.75,342.41,339.71,341.76,14908.7463
2021-06-19,341.76,341.93,341.1,341.57,7279.9043
2021-06-19,341.5,342.33,340.55,340.83,11621.7354
2021-06-19,340.73,341.02,338.9,338.92,10627.5005
2021-06-19,338.94,341.28,338.9,339.8,6808.1984
2021-06-19,339.8,340.67,338.26,338.93,15308.4652
2021-06-19,339.0,339.61,338.45,338.52,11207.8228
2021-06-19,338.52,339.27,337.28,338.99,10066.3062
2021-06-19,338.95,340.0,337.76,338.75,14737.772
2021-06-19,338.76,339.75,337.54,337.68,6765.9984
2021-06-19,337.67,339.31,337.67,338.88,11990.448
2021-06-19,338.89,339.77,338.52,339.74,7203.0262
2021-06-19,339.75,339.99,339.25,339.29,6138.9014
2021-06-19,339.3,341.0,339.18,340.64,8593.6727
2021-06-19,340.59,343.28,339.51,343.25,23422.2132
